Relationship,Text
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base,  <e1> government </e1>  healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the  <e2> Middle East </e2>  and Southeast Asia."
located-at,"Aoqin Dragon has primarily targeted government,  <e1> education </e1>  and telecommunication organizations in Australia,  <e2> Cambodia </e2>  Hong Kong, Singapore, and Vietnam."
targets,"Active since at least 2009,  <e1> Leviathan </e1> has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing,  <e2> maritime </e2>  and transportation across the US, Canada, Europe, the Middle East, and Southeast Asia."
uses,adbupd is a backdoor used by  <e1> PLATINUM </e1>  <e2> adbupd </e2> is a backdoor used by PLATINUM that is similar to Dipsind.
associated-with,Individual members of menuPass are known to have acted in association with the  <e1> Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau </e1>  <e2> menuPass </e2> are known to have acted in association with the Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau and worked for the Huaying Haitai Science and Technology Development Company.
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical,  <e1> defense industrial base </e1>  government, healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted government, finance, travel, energy, manufacturing, and utility companies outside of Israel as well, including those in Italy,  <e2> India </e2>  Germany, Chile, Turkey, the UAE, and the US."
belongs-to,<e1> BACKSPACE </e1> is a  <e2> backdoor </e2> used by APT30 that dates back to at least 2005.
associated-with,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name  <e1> Lazarus Group </e1>  <e2> North Korean </e2> state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups."
associated-with,A portion of  <e1> FIN7 </e1> was run out of a front company called  <e2> Combi Security </e2> and often used point-of-sale malware for targeting efforts.
originates-from,"<e1> ZIRCONIUM </e1> is a threat group operating out of  <e2> China </e2>  active since at least 2017, that has targeted individuals associated with the 2020 US presidential election and prominent leaders in the international affairs community."
actived-on,<e1> Suckfly </e1> is a China-based threat group that has been active since at least  <e2> 2014 </e2>.
uses,BLUELIGHT is a remote access Trojan used by  <e1> APT37 </e1>  <e2> BLUELIGHT </e2> is a remote access Trojan used by APT37 that was first observed in early 2021.
targets,"<e1> FIN13 </e1> is a financially motivated cyber threat group that has targeted the financial, retail, and hospitality industries in Mexico and  <e2> Latin America </e2>  as early as 2016."
targets,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech,  <e2> education </e2>  manufacturing, and legal services."
originates-from,"<e1> Group5 </e1> is a threat group with a suspected  <e2> Iranian </e2> nexus, though this attribution is not definite."
hosts,"<e1> Turla </e1> is known for conducting  <e2> watering hole </e2> and spearphishing campaigns, and leveraging in-house tools and malware, such as Uroburos."
targets,"<e1> GALLIUM </e1> is a cyberespionage group that has been active since at least 2012, primarily targeting telecommunications companies,  <e2> financial </e2> institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
located-at,UP Rajarshi Tandon Open University Allahabad Website HackedWebsite of  <e1> UP Rajarshi Tandon Open University Allahabad </e1> Hacked last night. The Education system in  <e2> India </e2> sucks.
actived-on,<e1> Agent Tesla </e1> is a spyware Trojan written for the. NET framework that has been observed since at least  <e2> 2014 </e2>.
variant-of,<e1> AndroidOS/MalLocker. B </e1> is a variant of a  <e2> ransomware </e2> family targeting Android devices.
targets,<e1> FIN10 </e1> is a financially motivated threat group that has targeted organizations in  <e2> North America </e2> since at least 2013 through 2016.
uses,"To halt the malicious activities of  <e1> Bohrium </e1>  Microsoft said it took down 41 "". xyz"" domains that were used as  <e2> command-and-control infrastructure </e2> to facilitate the spear-phishing campaign."
located-at,"Andariel has primarily focused its operations--which have included destructive attacks--against South Korean  <e1> government agencies </e1>  <e2> South Korean </e2> government agencies, military organizations, and a variety of domestic companies; they have also conducted cyber financial operations against ATMs, banks, and cryptocurrency exchanges."
targets,"<e1> Operation Spalax </e1> was a campaign that primarily targeted Colombian government organizations and private companies, particularly those associated with the  <e2> energy </e2> and metallurgical industries."
actived-on,<e1> RTM </e1> is a cybercriminal group that has been active since at least  <e2> 2015 </e2> and is primarily interested in users of remote banking systems in Russia and neighboring countries.
targets,"<e1> Strider </e1> is a threat group that has been active since at least 2011 and has targeted victims in Russia,  <e2> China </e2>  Sweden, Belgium, Iran, and Rwanda."
targets,"<e1> Inception </e1> is a cyber espionage group active since at least 2014. The group has targeted multiple industries and governmental entities primarily in Russia, but has also been active in the United States and throughout  <e2> Europe </e2>  Asia, Africa, and the Middle East."
actived-on,"<e1> APT39 </e1> is one of several names for cyber espionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least  <e2> 2014 </e2>  APT39 has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
targets,"<e1> XLoader </e1> for Android is a malicious Android app first observed targeting  <e2> Japan </e2>  Korea, China, Taiwan, and Hong Kong in 2018."
targets,"<e1> IceApple </e1> is a modular Internet Information Services (IIS) post-exploitation framework, that has been used since at least 2021 against the technology, academic, and  <e2> government </e2> sectors."
targets,"<e1> WIRTE </e1> has targeted government, diplomatic, financial, military, legal, and  <e2> technology </e2> organizations in the Middle East and Europe."
belongs-to,<e1> ZergHelper </e1> is  <e2> iOS riskware </e2> that was unique due to its apparent evasion of Apple's App Store review process.
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates,  <e2> Nigeria </e2>  Germany, France, and the United States."
targets,"Active since at least 2014,  <e1> APT38 </e1> has targeted banks,  <e2> financial institution </e2> , casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide."
targets,"<e1> APT29 </e1> is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR). They have operated since at least 2008, often targeting government networks in Europe and  <e2> NATO member countries </e2>  research institutes, and think tanks."
uses,BADNEWS is malware that has been used by the actors responsible for the  <e1> Patchwork campaign </e1>  <e2> BADNEWS </e2> is malware that has been used by the actors responsible for the Patchwork campaign.
targets,"<e1> Magic Hound </e1> is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. , and Middle Eastern government and  <e2> military </e2> personnel, academics, journalists, and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014."
actived-on,<e1> ADVSTORESHELL </e1> is a spying backdoor that has been used by APT28 from at least  <e2> 2012 </e2> to 2016.
attributed-to,<e1> Leviathan </e1> is a Chinese state-sponsored cyber espionage group that has been attributed to the  <e2> Ministry of State Security's (MSS) Hainan State Security Department </e2> and an affiliated front company.
targets,"<e1> POLONIUM </e1> is a Lebanon-based group that has primarily targeted  <e2> Israeli </e2> organizations, including critical manufacturing, information technology, and defense industry companies, since at least February 2022."
hosts,"In October 2020, the US indicted six GRU Unit 74455 officers associated with  <e1> Sandworm Team </e1> for the following cyber operations: the 2015 and 2016 attacks against Ukrainian electrical companies and government organizations, the  <e2> 2017 worldwide NotPetya </e2> attack, targeting of the 2017 French presidential campaign, the 2018 Olympic Destroyer attack against the Winter Olympic Games, the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019."
associated-with,"In 2020, security researchers noted overlapping TTPs, to include fake job lures and code similarities, between Operation Dream Job, Operation North Star, and Operation Interception; by 2022 security researchers described  <e1> Operation Dream Job </e1> as an umbrella term covering both Operation Interception and  <e2> Operation North Star </e2>."
targets,"<e1> Higaisa </e1> has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia,  <e2> Poland </e2>  and other nations."
originates-from,<e1> Lazarus Group </e1> is a  <e2> North Korean </e2> state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau.
located-at,"They have been observed targeting government, military, and  <e1> business </e1> entities throughout Asia, primarily focusing on Pakistan, China,  <e2> Nepal </e2>  and Afghanistan."
uses,<e1> JCry </e1> is ransomware written in Go. It was identified as apart of the  <e2> #OpJerusalem 2019 campaign </e2>.
hosts,<e1> CopyKittens </e1> is an Iranian  <e2> cyber espionage </e2> group that has been operating since at least 2013.
hosts,"<e1> APT3 </e1> is a China-based threat group that researchers have attributed to China's Ministry of State Security. This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and  <e2> Operation Double Tap </e2>  As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong."
located-at,"LuminousMoth has targeted high-profile organizations, including  <e1> government </e1> entities, in Myanmar, the Philippines,  <e2> Thailand </e2>  and other parts of Southeast Asia."
targets,"<e1> Inception </e1> is a cyber espionage group active since at least 2014. The group has targeted multiple industries and governmental entities primarily in Russia, but has also been active in the United States and throughout Europe, Asia,  <e2> Africa </e2>  and the Middle East."
targets,Security researchers assess  <e1> Ember Bear </e1> likely conducted the WhisperGate destructive wiper attacks against  <e2> Ukraine </e2> in early 2022.
targets,"<e1> Bandook </e1> is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US,  <e2> South America </e2>  Europe, and Southeast Asia."
targets,"<e1> Astaroth </e1> is a Trojan and information stealer known to affect companies in  <e2> Europe </e2>  Brazil, and throughout Latin America."
uses,"ZxxZ is a trojan written in Visual C++ that has been used by  <e1> BITTER </e1>  <e2> ZxxZ </e2> is a trojan written in Visual C++ that has been used by BITTER since at least August 2021, including against Bangladeshi government personnel."
targets,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education,  <e2> manufacturing </e2>  and legal services."
targets,"<e1> APT39 </e1> has primarily targeted the  <e2> travel </e2>  hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
targets,"<e1> BlackTech </e1> is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the  <e2> US </e2> since at least 2013."
targets,"As of March 2022,  <e1> AvosLocker </e1> had also been used against organizations in Belgium, Canada,  <e2> China </e2>  Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom."
targets,"<e1> FIN8 </e1> is a financially motivated threat group that has been active since at least January 2016, and known for targeting organizations in the hospitality, retail, entertainment, insurance, technology, chemical, and  <e2> financial </e2> sectors."
hosts,<e1> Metador </e1> is a suspected  <e2> cyber espionage </e2> group that was first reported in September 2022.
located-at,"LuminousMoth has targeted high-profile organizations, including  <e1> government </e1> entities, in Myanmar, the Philippines, Thailand, and other parts of  <e2> Southeast Asia </e2>  Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
belongs-to,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using  <e1> BitPaymer </e1>  <e2> ransomware </e2> operations using BitPaymer, WastedLocker, and Hades ransomware."
located-at,"Mustang Panda has targeted government entities, nonprofits, religious, and other  <e1> non-governmental organizations </e1> in the U. , Europe,  <e2> Mongolia </e2>  Myanmar, Pakistan, and Vietnam, among others."
targets,"First observed November 2021,  <e1> BlackCat </e1> has been used to target multiple sectors and organizations in various countries and regions in Africa, the  <e2> America </e2> , Asia, Australia, and Europe."
associated-with,"live,"" "" <e1>. me </e1> "" "". xyz"" domains that were used as  <e2> command-and-control infrastructure </e2> to facilitate the spear-phishing campaign."
actived-on,<e1> IndigoZebra </e1> is a suspected Chinese cyber espionage group that has been targeting Central Asian governments since at least  <e2> 2014 </e2>.
targets,"<e1> Silent Librarian </e1> is a group that has targeted research and proprietary data at universities,  <e2> government agencies </e2>  and private sector companies worldwide since at least 2013."
targets,"In October 2020, the US indicted six GRU Unit 74455 officers associated with  <e1> Sandworm Team </e1> for the following cyber operations: the 2015 and 2016 attacks against Ukrainian  <e2> electrical companies </e2> and government organizations, the 2017 worldwide NotPetya attack, targeting of the 2017 French presidential campaign, the 2018 Olympic Destroyer attack against the Winter Olympic Games, the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019."
targets,"Microsoft's Digital Crimes Unit (DCU) last week disclosed that it had taken legal proceedings against an Iranian threat actor dubbed Bohrium in connection with a  <e1> spear-phishing operation </e1> The adversarial collective is said to have targeted entities in tech, transportation,  <e2> government </e2>  and education sectors located in the U."
actived-on,"<e1> FIN13 </e1> is a financially motivated cyber threat group that has targeted the financial, retail, and hospitality industries in Mexico and Latin America, as early as  <e2> 2016 </e2>  FIN13 achieves its objectives by stealing intellectual property, financial data, mergers and acquisition information, or PII."
actived-on,<e1> CARROTBALL </e1> is an FTP downloader utility that has been in use since at least  <e2> 2019 </e2>  CARROTBALL has been used as a downloader to install SYSCON.
actived-on,<e1> BISCUIT </e1> is a backdoor that has been used by APT1 since as early as  <e2> 2007 </e2>.
actived-on,"1/1SkipAdContinue watchingafter the adVisit Advertiser websiteGO TO PAGEPLAYTop StoriesVideo SettingsFull ScreenAbout ConnatixV255047Read MoreRead MoreRead MoreRead MoreRead MoreRead MoreSD Worx shuts down UK payroll, HR servicesafter cyberattackWindows builds targeted by Magniber(HP)In April 2022,  <e1> Magniber </e1>  <e2> April 2022 </e2>  Magniber was seen distributed as a Windows 10 updatevia a network of malicious websites."
targets,"As of March 2022,  <e1> AvosLocker </e1> had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan,  <e2> Turkey </e2>  the United Arab Emirates, and the United Kingdom."
located-at,"WIRTE has targeted government, diplomatic, financial, military, legal, and  <e1> technology </e1> organizations in the Middle East and  <e2> Europe </e2>."
targets,"<e1> TA459 </e1> is a threat group believed to operate out of China that has targeted countries including Russia,  <e2> Belarus </e2>  Mongolia, and others."
located-at,"BITTER has primarily targeted government, energy, and  <e1> engineering </e1> organizations in  <e2> Pakistan </e2>  China, Bangladesh, and Saudi Arabia."
located-at,"FIN13 is a financially motivated cyber threat group that has targeted the financial, retail, and  <e1> hospital </e1> ty industries in Mexico and  <e2> Latin America </e2>  as early as 2016."
located-at,"BADHATCH has been used to target the insurance, retail, technology, and  <e1> chemical industries </e1> in the United States, Canada, South Africa,  <e2> Panama </e2>  and Italy."
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in  <e2> Japan </e2>  Vietnam, Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East."
targets,"<e1> Operation Wocao </e1> was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the  <e2> United State </e2>."
targets,"<e1> Nomadic Octopus </e1> is a Russian-speaking cyber espionage threat group that has primarily targeted Central Asia, including  <e2> local governments </e2>  diplomatic missions, and individuals, since at least 2014."
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted government, finance, travel, energy,  <e2> manufacturing </e2>  and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the US."
compromises,"The suspected  <e1> China-based actor </e1>  compromised government organizations and managed service providers, as well as aviation, construction, energy, finance,  <e2> health care </e2>  insurance, offshore engineering, software development, and transportation companies."
targets,"<e1> Tropic Trooper </e1> focuses on targeting government, healthcare, transportation, and  <e2> high-tech </e2> industries and has been active since 2011."
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included  <e2> government </e2> institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
actived-on,<e1> MoustachedBouncer </e1> is a cyberespionage group that has been active since at least  <e2> 2014 </e2> targeting foreign embassies in Belarus.
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted government, finance, travel, energy, manufacturing, and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the  <e2> US </e2>."
uses,4H RAT is malware that has been used by  <e1> Putter Panda </e1>  <e2> 4H RAT </e2> is malware that has been used by Putter Panda since at least 2007.
uses,"<e1> APT29 </e1> used customized malware to inject malicious code into the SolarWinds Orion software build process that was later distributed through a normal software update; they also used password spraying, token theft, API abuse,  <e2> spear phishing </e2>  and other supply chain attacks to compromise user accounts and leverage their associated access."
uses,"The  <e1> Operation Spalax threat actors </e1> distributed commodity malware and tools using generic  <e2> phishing topics </e2> related to COVID-19, banking, and law enforcement action."
actived-on,<e1> menuPass </e1> is a threat group that has been active since at least  <e2> 2006 </e2>  Individual members of menuPass are known to have acted in association with the Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau and worked for the Huaying Haitai Science and Technology Development Company.
targets,<e1> xCaon </e1> has been used to target political entities in  <e2> Central Asia </e2>  including Kyrgyzstan and Uzbekistan.
associated-with,"me,"" "" <e1>. net </e1> "" "". xyz"" domains that were used as  <e2> command-and-control infrastructure </e2> to facilitate the spear-phishing campaign."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing,  <e1> maritime </e1>  and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
actived-on,"The initial  <e1> Industroyer2 </e1> sample was compiled on <e2>  03/23/2022 </e2> and scheduled to execute on 04/08/2022, however it was discovered before deploying, resulting in no impact."
uses,"<e1> Group5 </e1> has used two commonly available  <e2> remote access tools (RATs) </e2>  njRAT and NanoCore, as well as an Android RAT, DroidJack."
targets,"<e1> Higaisa </e1> has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in  <e2> China </e2>  Japan, Russia, Poland, and other nations."
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and  <e2> North America </e2> to track individuals and entities considered to be a threat by the MOIS."
associated-with,"Excerpt from the leaked chats (translated) (Eclypsium)It is important to note that contrary to TrickBots module that targeted UEFI firmware flaws, aiding  <e1> Conti </e1> infections and later undertaken by the  <e2> ransomware group </e2>  the new findings indicate that the malicious engineers were striving to discover new, unknown vulnerabilities in the ME."
targets,"<e1> menuPass </e1> has targeted healthcare, defense,  <e2> aerospace </e2>  finance, maritime, biotechnology, energy, and government sectors globally, with an emphasis on Japanese organizations."
belongs-to,"<e1> Anubis </e1> is  <e2> Android malware </e2> that was originally used for cyber espionage, and has been retooled as a banking trojan."
hosts,"<e1> Stealth Falcon </e1> is a threat group that has conducted targeted  <e2> spyware </e2> attacks against Emirati journalists, activists, and dissidents since at least 2012."
compromises,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. They compromised various banking systems, including the  <e2> Russian Central Bank's Automated Workstation Client </e2>  ATMs, and card processing."
targets,"<e1> LuminousMoth </e1> has targeted high-profile organizations, including government entities, in Myanmar, the  <e2> Philippines </e2>  Thailand, and other parts of Southeast Asia."
targets,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance,  <e2> energy </e2>  pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services."
targets,"<e1> Ember Bear </e1> has primarily focused their operations against  <e2> Ukraine </e2> and Georgia, but has also targeted Western European and North American foreign ministries, pharmaceutical companies, and financial sector organizations."
located-at,"FIN13 is a financially motivated cyber threat group that has targeted the financial, retail, and  <e1> hospital </e1> ty industries in  <e2> Mexico </e2> and Latin America, as early as 2016."
belongs-to,<e1> Kessel </e1> is an advanced version of OpenSSH which acts as a custom  <e2> backdoor </e2>  mainly acting to steal credentials and function as a bot.
targets,"<e1> Gamaredon </e1> Group is a suspected Russian cyber espionage threat group that has targeted  <e2> military </e2>  NGO, judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013."
targets,"<e1> HEXANE </e1> is a cyber espionage threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017. Targeted companies have been located in the Middle East and Africa, including Israel, Saudi Arabia,  <e2> Kuwait </e2>  Morocco, and Tunisia."
actived-on,<e1> DarkHydrus </e1> is a threat group that has targeted government agencies and educational institutions in the Middle East since at least  <e2> 2016 </e2>  The group heavily leverages open-source tools and custom payloads for carrying out attacks.
targets,<e1> AuTo Stealer </e1> is malware written in C++ has been used by SideCopy since at least December 2021 to target government agencies and personnel in India and  <e2> Afghanistan </e2>.
uses,"<e1> Operation Sharpshooter </e1> was a global cyber espionage campaign that targeted nuclear, defense, government, energy, and financial companies, with many located in Germany, Turkey, the United Kingdom, and the United States. Security researchers noted the campaign shared many similarities with previous Lazarus Group operations, including  <e2> fake job recruitment lures </e2> and shared malware code."
uses,"<e1> Magniber </e1> s new infection chainIn previous campaign, the threat actor used MSI and EXE files. jse <e2> ALERT. js </e2> hese files are obfuscated and use a variation of the ""DotNetToJScript"" technique to execute a."
located-at,"Orangeworm is a group that has targeted organizations in the  <e1> healthcare </e1> sector in the United States,  <e2> Europe </e2>  and Asia since at least 2015, likely for the purpose of corporate espionage."
actived-on,"<e1> APT18 </e1> is a threat group that has operated since at least  <e2> 2009 </e2> and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical."
originates-from,<e1> Wizard Spider </e1> is a  <e2> Russia </e2> based financially motivated threat group originally known for the creation and deployment of TrickBot since at least 2016.
targets,"<e1> Magic Hound </e1> is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. , and Middle Eastern government and military personnel,  <e2> academics </e2>  journalists, and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014."
targets,"<e1> BADHATCH </e1> has been used to target the insurance, retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and  <e2> Italy </e2>."
hosts,<e1> Darkhotel </e1> is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on  <e2> cyber espionage </e2> operations conducted via hotel Internet networks against traveling executives and other select guests.
actived-on,<e1> Lazarus Group </e1> is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau. The group has been active since at least  <e2> 2009 </e2> and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta.
uses,<e1> AsyncRAT </e1> is an open-source  <e2> remote access </e2> tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns.
actived-on,<e1> GOLD SOUTHFIELD </e1> is a financially motivated threat group active since at least  <e2> 2018 </e2> that operates the REvil Ransomware-as-a Service (RaaS).
actived-on,"<e1> Tropic Trooper </e1> focuses on targeting government, healthcare, transportation, and high-tech industries and has been active since  <e2> 2011 </e2>."
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations,  <e2> telecommunication </e2>  companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
targets,"ZDNet: US security technology group Crowdstrike has identified another  <e1> cyber espionage group </e1> with links to the Chinese military, which has been systematically attacking US and European government partners in the  <e2> space </e2> and satellite ICS, according to the company."
targets,"<e1> TA2541 </e1> is a cybercriminal group that has been targeting the  <e2> aviation </e2>  aerospace, transportation, manufacturing, and defense industries since at least 2017."
hosts,"<e1> Operation Wocao </e1> was a  <e2> cyber espionage </e2> campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
targets,<e1> Gallmaker </e1> is a cyberespionage group that has targeted victims in the  <e2> Middle East </e2> and has been active since at least December 2017.
targets,<e1> Carbon </e1> has been selectively used by Turla to target government and foreign affairs-related organizations in  <e2> Central Asia </e2>.
actived-on,"<e1> Silent Librarian </e1> is a group that has targeted research and proprietary data at universities, government agencies, and private sector companies worldwide since at least  <e2> 2013 </e2>  Members of Silent Librarian are known to have been affiliated with the Iran-based Mabna Institute which has conducted cyber intrusions at the behest of the government of Iran, specifically the Islamic Revolutionary Guard Corps (IRGC)."
belongs-to,<e1> ZLib </e1> is a full-featured  <e2> backdoor </e2> that was used as a second-stage implant during Operation Dust Storm since at least 2014.
targets,"<e1> Gamaredon </e1> Group is a suspected Russian cyber espionage threat group that has targeted military, NGO, judiciary,  <e2> law enforcement </e2>  and non-profit organizations in Ukraine since at least 2013."
belongs-to,<e1> IcedID </e1> is a  <e2> modular banking malware </e2> designed to steal financial information that has been observed in the wild since at least 2017.
located-at,"Aoqin Dragon has primarily targeted <e1>  government </e1>  education, and telecommunication organizations in  <e2> Australia </e2>  Cambodia, Hong Kong, Singapore, and Vietnam."
targets,"<e1> FIN8 </e1> is a financially motivated threat group that has been active since at least January 2016, and known for targeting organizations in the hospitality, retail, entertainment, insurance, technology,  <e2> chemical </e2>  and financial sectors."
targets,"<e1> Operation Honeybee </e1> initially targeted  <e2> South Korea </e2>  but expanded to include Vietnam, Singapore, Japan, Indonesia, Argentina, and Canada."
targets,"Active since at least May 2020,  <e1> Aquatic Panda </e1> has primarily targeted entities in the telecommunications,  <e2> technology </e2>  and government sectors."
hosts,<e1> BITTER </e1> is a suspected South Asian  <e2> cyber espionage </e2> threat group that has been active since at least 2013.
targets,"<e1> APT12 </e1> is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to <e2>  media outlets </e2>  high-tech companies, and multiple governments."
located-at,"Ke3chang has targeted oil, government, diplomatic, military, and  <e1> NGO </e1>  in Central and South America, the  <e2> Caribbean </e2>  Europe, and North America since at least 2010."
targets,"Active since at least 2010,  <e1> Naikon </e1> has primarily conducted operations against  <e2> government </e2>  military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme (UNDP) and the Association of Southeast Asian Nations (ASEAN)."
located-at,"Night Dragon was a cyber espionage campaign that targeted  <e1> oil </e1>  energy, and petrochemical companies, along with individuals and executives in  <e2> Kazakhstan </e2>  Taiwan, Greece, and the United States."
uses,A recent malicious campaign delivering  <e1> Magniber </e1> ransomware has been targeting Windows home users with fake security updates. Threat actors created in September websites that promoted  <e2> fake antivirus and security updates </e2> for Windows 10.
targets,"<e1> HAFNIUM </e1> primarily targets entities in the  <e2> US </e2> across a number of industry sectors, including infectious disease researchers, law firms, higher education institutions, defense contractors, policy think tanks, and NGOs."
targets,"<e1> Machete </e1> is a suspected Spanish-speaking cyber espionage group that has been active since at least 2010. It has primarily focused its operations within  <e2> Latin America </e2>  with a particular emphasis on Venezuela, but also in the US, Europe, Russia, and parts of Asia."
targets,<e1> Ixeshe </e1> is a malware family that has been used since at least 2009 against targets in  <e2> East Asia </e2>.
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality, academic, and  <e2> telecommunication </e2>  industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
attributed-to,"ISMInjector is a Trojan used to install another OilRig backdoor,  <e1> ISMAgent </e1>  <e2> OilRig </e2> backdoor, ISMAgent."
targets,"<e1> BADHATCH </e1> has been used to target the  <e2> insurance </e2>  retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy."
